ProductA,ProductB,PairFrequency
"LL Mountain Frame - Black, 52",LL Bottom Bracket,4
"Long-Sleeve Logo Jersey, XL","LL Mountain Frame - Black, 48",39
"Touring-1000 Blue, 46","Touring-2000 Blue, 50",76
"Road-250 Red, 44",LL Road Rear Wheel,183
"LL Road Frame - Red, 48",HL Road Front Wheel,128
"LL Road Frame - Black, 44","Men's Sports Shorts, M",24
"Road-650 Red, 52","Road-650 Black, 62",185
"LL Mountain Frame - Black, 48","Mountain-500 Silver, 44",96
HL Touring Seat/Saddle,"Touring-3000 Yellow, 50",138
"Women's Mountain Shorts, M","LL Mountain Frame - Black, 52",4
"Road-250 Red, 58","Short-Sleeve Classic Jersey, M",1
"HL Mountain Frame - Silver, 38","Women's Tights, M",39
"LL Road Frame - Black, 52","Road-250 Red, 52",120
Touring Tire Tube,"Touring-3000 Blue, 50",1
"Road-650 Red, 60","ML Road Frame-W - Yellow, 38",149
"LL Road Frame - Black, 52","Road-450 Red, 44",120
"Road-250 Red, 44","HL Road Frame - Black, 44",64
Mountain Bottle Cage,"Short-Sleeve Classic Jersey, XL",46
"Sport-100 Helmet, Blue",LL Touring Seat/Saddle,14
LL Road Handlebars,"Half-Finger Gloves, L",21
"Touring-3000 Blue, 62","Touring-3000 Yellow, 44",76
Water Bottle - 30 oz.,"ML Mountain Frame-W - Silver, 42",88
"Long-Sleeve Logo Jersey, M",Front Derailleur,67
"HL Touring Frame - Blue, 46","Touring-1000 Yellow, 60",37
"LL Touring Frame - Yellow, 62","Touring-3000 Yellow, 50",99
"Classic Vest, L","Mountain-500 Silver, 42",1
"ML Road Frame-W - Yellow, 44","Short-Sleeve Classic Jersey, S",97
"Sport-100 Helmet, Red",LL Road Handlebars,38
"Long-Sleeve Logo Jersey, XL","LL Road Frame - Red, 60",200
"LL Touring Frame - Yellow, 44",Front Derailleur,14
Rear Brakes,"Touring-3000 Yellow, 54",45
Bike Wash - Dissolver,"Touring-2000 Blue, 60",97
"Long-Sleeve Logo Jersey, XL","HL Touring Frame - Yellow, 50",11
Hitch Rack - 4-Bike,"Touring-3000 Blue, 50",90
"HL Mountain Frame - Silver, 42",Bike Wash - Dissolver,26
"Sport-100 Helmet, Blue","Women's Tights, S",340
ML Mountain Seat/Saddle,HL Crankset,94
Patch Kit/8 Patches,"Mountain-400-W Silver, 40",29
Hitch Rack - 4-Bike,"LL Mountain Frame - Silver, 44",70
"LL Mountain Frame - Black, 44",HL Mountain Pedal,187
Bike Wash - Dissolver,"LL Mountain Frame - Silver, 48",7
Bike Wash - Dissolver,Rear Brakes,47
"Road-650 Black, 62","ML Road Frame-W - Yellow, 44",94
"Long-Sleeve Logo Jersey, M","LL Touring Frame - Yellow, 44",43
"Sport-100 Helmet, Black",Hitch Rack - 4-Bike,346
"Sport-100 Helmet, Black",Touring Tire,75
Patch Kit/8 Patches,Touring Tire Tube,384
"ML Mountain Frame-W - Silver, 38","Mountain-500 Silver, 52",3
"Women's Mountain Shorts, L","Mountain-500 Black, 42",113
"Road-550-W Yellow, 42","ML Road Frame-W - Yellow, 48",190
"Long-Sleeve Logo Jersey, XL","Touring-3000 Yellow, 58",12
Bike Wash - Dissolver,"Touring-1000 Yellow, 60",101
"HL Road Frame - Red, 48","Road-550-W Yellow, 38",33
"Long-Sleeve Logo Jersey, XL","Mountain-100 Black, 38",69
Touring Tire,"Touring-3000 Yellow, 58",10
"Men's Sports Shorts, M","Full-Finger Gloves, M",112
"ML Road Frame - Red, 52","Road-150 Red, 56",33
"Road-250 Red, 58","Road-550-W Yellow, 42",191
"Mountain-200 Black, 38","Men's Sports Shorts, M",107
"LL Road Frame - Red, 44","Road-250 Black, 52",117
"Classic Vest, S","Touring-1000 Yellow, 50",78
"LL Touring Frame - Yellow, 62",Front Derailleur,27
"Long-Sleeve Logo Jersey, L",LL Road Seat/Saddle,2
"ML Mountain Frame - Black, 38",HL Mountain Rear Wheel,181
Bike Wash - Dissolver,HL Mountain Seat/Saddle,95
"HL Road Frame - Red, 48","Road-650 Red, 48",13
Cable Lock,Minipump,241
Rear Derailleur,"Mountain-500 Silver, 40",54
"LL Mountain Frame - Silver, 52","Mountain-500 Silver, 42",88
LL Mountain Seat/Saddle,"Mountain-500 Black, 40",63
"Racing Socks, M",LL Mountain Tire,4
"LL Road Frame - Red, 48",Cable Lock,107
LL Mountain Handlebars,"Short-Sleeve Classic Jersey, L",56
"Touring-3000 Blue, 54","Touring-3000 Blue, 50",171
Patch Kit/8 Patches,"LL Mountain Frame - Black, 48",32
"Long-Sleeve Logo Jersey, M",ML Road Rear Wheel,10
"HL Touring Frame - Yellow, 54","LL Touring Frame - Blue, 44",8
"Road-250 Red, 48",LL Road Rear Wheel,181
"Mountain-200 Silver, 42","Mountain-200 Black, 46",362
"LL Mountain Frame - Silver, 48",HL Bottom Bracket,13
"HL Road Frame - Red, 62","HL Road Frame - Red, 48",32
"Long-Sleeve Logo Jersey, M","HL Road Frame - Black, 44",96
"LL Road Frame - Black, 52","Half-Finger Gloves, S",158
"LL Road Frame - Black, 52","Road-650 Black, 44",272
HL Mountain Front Wheel,Minipump,41
"Short-Sleeve Classic Jersey, S","HL Touring Frame - Yellow, 50",11
Patch Kit/8 Patches,"Road-750 Black, 44",48
"LL Touring Frame - Yellow, 58",LL Touring Handlebars,11
LL Road Handlebars,"Half-Finger Gloves, S",27
ML Headset,"Women's Tights, M",35
Touring Tire Tube,"Touring-3000 Yellow, 54",6
Touring Tire,"Touring-3000 Yellow, 62",7
"LL Touring Frame - Blue, 54",HL Bottom Bracket,7
"Road-650 Red, 62",LL Road Handlebars,31
"Half-Finger Gloves, S","Road-350-W Yellow, 44",26
"Half-Finger Gloves, S","Short-Sleeve Classic Jersey, S",231
"Mountain-500 Silver, 42","Mountain-500 Black, 40",74
"Road-250 Black, 44","Men's Sports Shorts, S",73
"ML Road Frame-W - Yellow, 38","Road-350-W Yellow, 44",50
Hitch Rack - 4-Bike,HL Mountain Tire,20
"Long-Sleeve Logo Jersey, XL","Short-Sleeve Classic Jersey, XL",191
"Sport-100 Helmet, Red","Road-650 Black, 58",231
"Road-250 Red, 44",Cable Lock,113
"Road-650 Red, 62","Road-650 Black, 52",454
"Touring-3000 Blue, 54","Touring-1000 Blue, 50",143
"Road-150 Red, 62","Road-150 Red, 52",59
"Classic Vest, L",Mountain Bottle Cage,30
"Road-650 Red, 58","Men's Sports Shorts, M",62
"Long-Sleeve Logo Jersey, M","Women's Mountain Shorts, L",91
"Sport-100 Helmet, Red","Sport-100 Helmet, Blue",793
"ML Mountain Frame-W - Silver, 46","ML Mountain Frame-W - Silver, 38",3
"HL Mountain Frame - Silver, 48","Mountain-100 Black, 42",73
"Half-Finger Gloves, S","Women's Mountain Shorts, L",77
"ML Road Frame-W - Yellow, 48",Bike Wash - Dissolver,69
"LL Touring Frame - Blue, 62",HL Touring Handlebars,1
"Sport-100 Helmet, Red","LL Road Frame - Red, 48",165
LL Mountain Seat/Saddle,"LL Mountain Frame - Black, 44",124
"Long-Sleeve Logo Jersey, S","Touring-2000 Blue, 50",2
"HL Mountain Frame - Silver, 46",HL Mountain Seat/Saddle,90
"Mountain-200 Black, 46","Men's Bib-Shorts, S",83
"ML Mountain Frame - Black, 44","Men's Bib-Shorts, S",86
"Women's Tights, L","Half-Finger Gloves, M",236
"HL Mountain Frame - Silver, 46","ML Mountain Frame - Black, 40",27
"Long-Sleeve Logo Jersey, XL","Women's Mountain Shorts, L",78
"HL Mountain Frame - Silver, 46","Mountain-300 Black, 48",93
"Long-Sleeve Logo Jersey, M","Touring-3000 Yellow, 50",71
Bike Wash - Dissolver,Rear Derailleur,58
"Sport-100 Helmet, Blue","ML Road Frame - Red, 48",74
HL Mountain Handlebars,"Women's Tights, L",68
ML Road Tire,"Road-350-W Yellow, 42",37
Patch Kit/8 Patches,"Road-350-W Yellow, 40",76
HL Road Handlebars,"ML Road Frame-W - Yellow, 44",188
"Men's Sports Shorts, S","Men's Bib-Shorts, S",146
"Road-250 Red, 52","Men's Sports Shorts, M",90
"ML Road Frame - Red, 52","LL Road Frame - Black, 52",32
"LL Road Frame - Red, 44","Road-550-W Yellow, 40",156
"Road-250 Red, 48",Cable Lock,111
"ML Mountain Frame-W - Silver, 42","Mountain-500 Silver, 42",135
"Mountain-200 Silver, 42","Mountain-500 Black, 44",102
"Road-450 Red, 48","Road-650 Red, 52",59
Bike Wash - Dissolver,"HL Touring Frame - Yellow, 54",58
"Racing Socks, M",Touring Tire Tube,6
AWC Logo Cap,"Touring-3000 Blue, 58",74
LL Fork,HL Fork,67
Patch Kit/8 Patches,"Mountain-500 Silver, 40",30
"Short-Sleeve Classic Jersey, L","Mountain-400-W Silver, 40",70
"Road-150 Red, 52","Road-650 Red, 52",60
"Sport-100 Helmet, Blue","Mountain-500 Black, 44",60
"Short-Sleeve Classic Jersey, S",LL Touring Seat/Saddle,15
"Long-Sleeve Logo Jersey, XL","Road-450 Red, 48",25
"Road-650 Red, 44","ML Road Frame-W - Yellow, 38",147
"Road-250 Black, 58","Short-Sleeve Classic Jersey, M",1
ML Mountain Pedal,"Mountain-500 Silver, 48",107
Bike Wash - Dissolver,"HL Touring Frame - Blue, 60",53
"HL Mountain Frame - Black, 42","Women's Tights, L",105
"ML Road Frame-W - Yellow, 40","Women's Tights, S",29
Rear Derailleur,"Touring-3000 Yellow, 44",51
"Long-Sleeve Logo Jersey, L","LL Mountain Frame - Black, 52",2
"Road-650 Black, 48","Road-550-W Yellow, 40",113
"Road-550-W Yellow, 44",HL Road Front Wheel,76
"Mountain Bike Socks, M","Mountain-100 Black, 42",137
"HL Mountain Frame - Black, 42",LL Mountain Handlebars,247
"Long-Sleeve Logo Jersey, M","LL Mountain Frame - Silver, 42",71
AWC Logo Cap,"Short-Sleeve Classic Jersey, XL",503
"ML Mountain Frame-W - Silver, 42","Mountain-500 Black, 52",80
"LL Touring Frame - Blue, 62","LL Touring Frame - Yellow, 50",4
AWC Logo Cap,"Road-350-W Yellow, 42",135
"Half-Finger Gloves, M","LL Touring Frame - Yellow, 50",38
"Sport-100 Helmet, Blue","Touring-1000 Blue, 50",88
"LL Road Frame - Black, 52","Road-350-W Yellow, 44",70
"LL Road Frame - Red, 52",LL Road Handlebars,15
"Road-250 Red, 58","ML Road Frame-W - Yellow, 48",105
Front Brakes,"Touring-3000 Blue, 44",76
"Mountain-200 Black, 38","Mountain-200 Black, 42",456
"LL Touring Frame - Yellow, 58","Touring-1000 Yellow, 46",14
HL Headset,"Half-Finger Gloves, L",26
"HL Mountain Frame - Black, 42","HL Mountain Frame - Silver, 38",397
"Road-150 Red, 56","Road-650 Red, 44",135
LL Mountain Front Wheel,"Men's Sports Shorts, M",105
"HL Road Frame - Red, 48","LL Road Frame - Red, 62",14
"Road-250 Black, 48","Road-750 Black, 48",168
"Touring-3000 Yellow, 58",LL Bottom Bracket,59
"Half-Finger Gloves, S","LL Touring Frame - Blue, 50",51
"Road-650 Red, 44","Women's Tights, L",203
"HL Mountain Frame - Black, 38","Mountain-100 Silver, 38",56
"Mountain-200 Black, 46",Cable Lock,94
LL Crankset,"Mountain-500 Silver, 52",84
"Sport-100 Helmet, Blue",Road Bottle Cage,128
"Sport-100 Helmet, Black","ML Road Frame - Red, 48",73
"Road-650 Black, 44","Women's Tights, M",53
"Long-Sleeve Logo Jersey, XL","ML Mountain Frame-W - Silver, 42",53
"Road-550-W Yellow, 44","Road-550-W Yellow, 48",183
"ML Road Frame-W - Yellow, 38",HL Road Rear Wheel,28
"Mountain-200 Black, 38","Mountain-500 Silver, 48",140
"Mountain-200 Silver, 42","LL Mountain Frame - Black, 42",124
"LL Mountain Frame - Silver, 52","Mountain-500 Black, 52",28
"Long-Sleeve Logo Jersey, M",Cable Lock,238
"LL Touring Frame - Blue, 58","Touring-3000 Yellow, 62",1
"Mountain-200 Silver, 42","Women's Tights, S",146
"ML Road Frame-W - Yellow, 40","ML Road Frame-W - Yellow, 44",57
"HL Road Frame - Red, 44","Road-650 Red, 62",81
"LL Touring Frame - Blue, 54","LL Touring Frame - Yellow, 50",72
"Half-Finger Gloves, L","LL Touring Frame - Yellow, 58",5
"Touring-3000 Yellow, 58","Touring-1000 Blue, 54",90
"Half-Finger Gloves, M","LL Mountain Frame - Black, 48",63
"LL Road Frame - Black, 52",LL Road Rear Wheel,199
"Road-650 Red, 52","Road-250 Red, 52",154
"Road-250 Black, 52",ML Road Front Wheel,123
Water Bottle - 30 oz.,LL Mountain Tire,20
"Long-Sleeve Logo Jersey, M",LL Touring Handlebars,8
"Road-150 Red, 52","Road-450 Red, 60",59
HL Road Pedal,"Road-750 Black, 48",208
HL Crankset,"Touring-1000 Blue, 54",76
"Road-650 Black, 60",HL Road Handlebars,97
"Road-650 Black, 44","HL Road Frame - Black, 44",64
"Road-650 Black, 60",LL Road Handlebars,30
"Mountain-200 Black, 38",Bike Wash - Dissolver,121
"Classic Vest, M",HL Bottom Bracket,78
"Road-550-W Yellow, 48","Women's Tights, M",55
"Road-650 Black, 48","Road-250 Black, 52",114
ML Mountain Handlebars,"Men's Bib-Shorts, S",87
Mountain Tire Tube,"Mountain-500 Black, 42",8
"Long-Sleeve Logo Jersey, L","Road-650 Red, 60",344
"LL Touring Frame - Blue, 54",LL Crankset,6
"LL Road Frame - Black, 58","Road-150 Red, 48",23
"Short-Sleeve Classic Jersey, S","LL Mountain Frame - Silver, 48",7
"Road-650 Red, 48",HL Road Rear Wheel,27
"LL Touring Frame - Blue, 50","Touring-3000 Blue, 54",85
"LL Road Frame - Black, 44","Road-250 Black, 48",62
"Mountain Bike Socks, M","Mountain-100 Silver, 48",128
"ML Mountain Frame - Black, 40","ML Mountain Frame - Black, 48",27
"Sport-100 Helmet, Blue","Road-250 Black, 48",226
"Classic Vest, M","Road-350-W Yellow, 48",119
ML Mountain Rear Wheel,"ML Mountain Frame - Black, 40",25
"Mountain-200 Silver, 42","Men's Bib-Shorts, M",125
"LL Touring Frame - Blue, 50","LL Touring Frame - Yellow, 58",13
"Road-550-W Yellow, 48",Water Bottle - 30 oz.,128
"Half-Finger Gloves, L","Touring-1000 Yellow, 54",8
"Road-250 Red, 58",LL Road Pedal,92
"Mountain-200 Black, 46","LL Mountain Frame - Black, 42",130
"Women's Mountain Shorts, L",LL Mountain Seat/Saddle,121
"Touring-3000 Yellow, 50","Touring-1000 Blue, 50",144
"Half-Finger Gloves, M","Women's Mountain Shorts, L",100
"Women's Tights, L","Men's Bib-Shorts, M",319
"Mountain-400-W Silver, 40","Mountain-500 Black, 44",106
"Half-Finger Gloves, L",HL Bottom Bracket,33
AWC Logo Cap,"Mountain-100 Black, 42",84
"Road-650 Black, 44",ML Road Rear Wheel,16
"Mountain-400-W Silver, 40","Mountain-500 Silver, 48",115
"Road-550-W Yellow, 40","HL Road Frame - Black, 48",34
Rear Brakes,ML Crankset,21
Touring Tire,"Touring-1000 Yellow, 50",18
HL Mountain Seat/Saddle,Chain,96
"Road-150 Red, 56","Road-650 Black, 52",141
Hydration Pack - 70 oz.,"LL Mountain Frame - Silver, 40",62
ML Crankset,"Touring-1000 Blue, 50",2
"Half-Finger Gloves, S","Mountain-500 Black, 52",24
"Half-Finger Gloves, L","Touring-3000 Blue, 54",27
HL Touring Seat/Saddle,HL Crankset,60
"Sport-100 Helmet, Black","Road-350-W Yellow, 42",130
"Half-Finger Gloves, S","Touring-1000 Yellow, 54",28
"Half-Finger Gloves, M","Touring-3000 Blue, 58",58
AWC Logo Cap,"Mountain-100 Silver, 44",84
"Mountain-200 Black, 46",Water Bottle - 30 oz.,183
Water Bottle - 30 oz.,"Road-350-W Yellow, 42",126
"Racing Socks, L","Short-Sleeve Classic Jersey, XL",151
"Sport-100 Helmet, Blue","LL Road Frame - Red, 60",242
"Women's Mountain Shorts, L","Mountain-500 Silver, 52",148
"LL Mountain Frame - Silver, 52","Mountain-500 Black, 40",29
Chain,"Mountain-500 Silver, 52",84
Patch Kit/8 Patches,"Touring-3000 Blue, 62",8
"Sport-100 Helmet, Red","Road-350-W Yellow, 42",123
"Road-550-W Yellow, 44","Classic Vest, M",38
"Sport-100 Helmet, Blue","Touring-2000 Blue, 54",91
"Sport-100 Helmet, Black","Touring-3000 Blue, 50",83
"HL Touring Frame - Blue, 60","Touring-3000 Yellow, 62",100
"ML Road Frame-W - Yellow, 38","Racing Socks, L",118
"Road-250 Red, 52","Men's Bib-Shorts, S",64
Front Brakes,"Touring-3000 Yellow, 58",76
"Men's Sports Shorts, S","Women's Tights, L",146
"Road-350-W Yellow, 40","Road-750 Black, 44",93
"Touring-3000 Yellow, 50","Touring-2000 Blue, 54",170
"HL Touring Frame - Yellow, 46","Touring-3000 Yellow, 50",22
Water Bottle - 30 oz.,"Short-Sleeve Classic Jersey, XL",510
"Mountain-200 Black, 38","Mountain-400-W Silver, 46",84
AWC Logo Cap,"Mountain-100 Black, 38",87
AWC Logo Cap,"Road-450 Red, 60",93
"Racing Socks, M","Road-750 Black, 44",97
"HL Road Frame - Red, 62","Classic Vest, M",35
"Half-Finger Gloves, S","Touring-3000 Blue, 54",53
"Half-Finger Gloves, L","Mountain-500 Black, 52",1
ML Mountain Front Wheel,"ML Mountain Frame - Black, 48",92
"LL Mountain Frame - Black, 42",LL Bottom Bracket,72
LL Touring Handlebars,"Touring-3000 Blue, 58",21
"Long-Sleeve Logo Jersey, M","LL Touring Frame - Yellow, 58",5
"Mountain-200 Silver, 42","Women's Mountain Shorts, S",175
"Short-Sleeve Classic Jersey, L","Touring-3000 Yellow, 44",97
"LL Touring Frame - Yellow, 58","Touring-3000 Yellow, 62",12
"Mountain Bike Socks, M","Long-Sleeve Logo Jersey, L",84
"Mountain-200 Silver, 38","Mountain-500 Silver, 40",129
"Road-550-W Yellow, 42","Road-350-W Yellow, 44",101
"Touring-3000 Blue, 54","Touring-3000 Blue, 44",87
"LL Mountain Frame - Silver, 44","LL Mountain Frame - Silver, 52",87
HL Crankset,"Touring-2000 Blue, 54",89
"ML Road Frame-W - Yellow, 38","Men's Bib-Shorts, L",91
"Mountain-400-W Silver, 38","Mountain-500 Black, 48",78
"Half-Finger Gloves, L","Touring-2000 Blue, 60",29
"Short-Sleeve Classic Jersey, S",LL Road Tire,8
Water Bottle - 30 oz.,"Touring-3000 Blue, 58",73
Patch Kit/8 Patches,"Touring-1000 Blue, 46",43
"LL Touring Frame - Blue, 50","LL Touring Frame - Yellow, 44",84
"HL Road Frame - Red, 48",HL Road Front Wheel,13
"Mountain-200 Silver, 38","Men's Sports Shorts, S",57
Water Bottle - 30 oz.,HL Road Seat/Saddle,23
"Mountain-200 Black, 46",Front Derailleur,87
"HL Touring Frame - Blue, 60",Rear Derailleur,31
"HL Touring Frame - Yellow, 54","Touring-3000 Blue, 62",48
"Sport-100 Helmet, Blue","Touring-3000 Yellow, 58",45
"Men's Bib-Shorts, M","Full-Finger Gloves, L",133
LL Mountain Rear Wheel,Cable Lock,59
"Women's Mountain Shorts, S",HL Crankset,92
"ML Road Frame-W - Yellow, 38","ML Road Frame-W - Yellow, 48",287
"Mountain-300 Black, 38",ML Mountain Front Wheel,90
"Road-350-W Yellow, 40","Road-750 Black, 52",253
"Sport-100 Helmet, Blue","Road-250 Black, 44",257
"Classic Vest, M","Short-Sleeve Classic Jersey, S",275
LL Road Handlebars,ML Road Pedal,31
"Sport-100 Helmet, Black",Front Brakes,81
ML Touring Seat/Saddle,"Touring-2000 Blue, 46",25
AWC Logo Cap,"Touring-1000 Blue, 54",73
"Road-650 Red, 44","Road-550-W Yellow, 38",187
Hydration Pack - 70 oz.,Touring Tire,73
"Short-Sleeve Classic Jersey, XL","Touring-3000 Yellow, 44",95
Hitch Rack - 4-Bike,"Touring-1000 Blue, 46",85
"Road-250 Red, 58","Road-750 Black, 58",94
"Road-250 Black, 44","Road-350-W Yellow, 48",180
"Long-Sleeve Logo Jersey, M","Short-Sleeve Classic Jersey, XL",267
"Road-550-W Yellow, 48","Half-Finger Gloves, L",94
"Mountain-200 Silver, 46","Mountain-500 Black, 44",93
"Mountain Bike Socks, M","HL Mountain Frame - Black, 44",4
"Long-Sleeve Logo Jersey, M","LL Road Frame - Black, 52",311
LL Crankset,"Mountain-500 Silver, 48",61
"LL Touring Frame - Blue, 50",Front Derailleur,18
"Long-Sleeve Logo Jersey, XL",LL Bottom Bracket,35
ML Touring Seat/Saddle,"Touring-1000 Blue, 50",27
Bike Wash - Dissolver,"Mountain-400-W Silver, 42",53
Rear Brakes,"Touring-1000 Blue, 60",47
Mountain Tire Tube,"Mountain-500 Silver, 48",5
"LL Road Frame - Red, 48","Road-250 Red, 52",102
AWC Logo Cap,"ML Mountain Frame - Black, 38",114
"Half-Finger Gloves, L","ML Mountain Frame-W - Silver, 40",32
"LL Road Frame - Black, 52","Road-450 Red, 48",44
"Long-Sleeve Logo Jersey, S","Touring-1000 Yellow, 50",1
"HL Touring Frame - Blue, 50",LL Touring Seat/Saddle,11
"LL Touring Frame - Blue, 62","Touring-1000 Blue, 54",3
"LL Road Frame - Red, 48","ML Road Frame - Red, 52",30
HL Headset,"Women's Tights, M",39
"HL Mountain Frame - Silver, 46","Full-Finger Gloves, L",98
HL Fork,"Half-Finger Gloves, S",52
"Women's Mountain Shorts, M","Mountain-500 Black, 48",132
"Half-Finger Gloves, S","Touring-1000 Yellow, 46",60
"Road-250 Red, 58","Classic Vest, S",47
"Half-Finger Gloves, S","Touring-2000 Blue, 60",58
"LL Road Frame - Red, 48","Road-250 Red, 58",59
"Half-Finger Gloves, M","Road-350-W Yellow, 42",100
"Touring-1000 Yellow, 46","Touring-3000 Yellow, 62",206
"LL Touring Frame - Blue, 50","Touring-3000 Yellow, 50",88
"HL Touring Frame - Blue, 46","Touring-1000 Blue, 50",34
"LL Road Frame - Black, 52","Road-650 Black, 48",145
"Road-150 Red, 52","Road-150 Red, 56",54
"Racing Socks, L",LL Road Tire,6
"LL Mountain Frame - Silver, 44",HL Crankset,61
"Half-Finger Gloves, L",Chain,31
"HL Touring Frame - Blue, 46","Touring-2000 Blue, 46",35
"HL Mountain Frame - Black, 42",ML Headset,96
"Road-650 Red, 58",Minipump,58
Mountain Bottle Cage,Fender Set - Mountain,392
LL Mountain Seat/Saddle,Front Derailleur,61
"HL Touring Frame - Blue, 60","Touring-3000 Yellow, 58",31
"Men's Bib-Shorts, M","Full-Finger Gloves, S",73
"Mountain-500 Black, 40","Mountain-500 Black, 44",83
"ML Mountain Frame-W - Silver, 40",LL Crankset,88
"HL Touring Frame - Yellow, 54","Touring-1000 Yellow, 50",117
"Road-450 Red, 60","Road-650 Black, 52",125
"Mountain-200 Black, 42",HL Mountain Front Wheel,71
LL Mountain Front Wheel,"Half-Finger Gloves, M",98
"Road-650 Black, 60",ML Road Front Wheel,138
"Road-650 Red, 52","Road-250 Red, 58",103
"LL Mountain Frame - Silver, 42","LL Mountain Frame - Black, 42",132
"Mountain-200 Black, 38","ML Mountain Frame - Black, 48",213
"Road-250 Red, 58",HL Road Rear Wheel,14
Touring Tire Tube,"Touring-1000 Blue, 60",12
"Half-Finger Gloves, M","ML Mountain Frame-W - Silver, 38",1
"Long-Sleeve Logo Jersey, XL",LL Road Tire,7
"Mountain-200 Black, 46",Mountain Tire Tube,54
Water Bottle - 30 oz.,"Touring-3000 Yellow, 54",84
"ML Road Frame-W - Yellow, 44",Cable Lock,120
AWC Logo Cap,"LL Mountain Frame - Silver, 48",8
"Road-550-W Yellow, 40",LL Road Seat/Saddle,2
"Road-550-W Yellow, 40","Women's Tights, L",138
"HL Mountain Frame - Silver, 46",LL Crankset,86
"Half-Finger Gloves, L",HL Touring Seat/Saddle,29
"Classic Vest, S","Road-350-W Yellow, 48",172
"LL Road Frame - Red, 62","Road-450 Red, 60",79
"HL Touring Frame - Yellow, 46","Touring-2000 Blue, 54",25
"LL Touring Frame - Yellow, 50","Touring-3000 Blue, 54",79
"LL Touring Frame - Blue, 54","Touring-1000 Blue, 60",65
"Road-650 Red, 62",HL Road Front Wheel,174
"Long-Sleeve Logo Jersey, S","Women's Mountain Shorts, S",24
"Women's Mountain Shorts, M",LL Bottom Bracket,71
"HL Mountain Frame - Silver, 42",HL Crankset,41
"LL Road Frame - Black, 44","Men's Bib-Shorts, S",27
"Mountain-200 Silver, 46","Mountain-200 Black, 46",358
"Short-Sleeve Classic Jersey, S","Mountain-500 Black, 48",63
Rear Brakes,"LL Mountain Frame - Black, 48",41
"Sport-100 Helmet, Red","Road-750 Black, 48",151
"LL Mountain Frame - Silver, 40",LL Bottom Bracket,67
"ML Road Frame-W - Yellow, 48","Men's Sports Shorts, S",71
AWC Logo Cap,"Mountain-200 Silver, 46",275
"Sport-100 Helmet, Blue",LL Mountain Pedal,86
"Mountain-200 Black, 38",HL Mountain Pedal,200
"HL Mountain Frame - Silver, 48","HL Mountain Frame - Black, 38",50
"Mountain-400-W Silver, 42","Mountain-500 Silver, 52",56
Hitch Rack - 4-Bike,LL Road Seat/Saddle,2
HL Road Handlebars,"Racing Socks, M",90
LL Road Rear Wheel,"HL Road Frame - Black, 44",71
"Mountain-200 Silver, 46","Women's Tights, S",146
ML Road Front Wheel,"Men's Sports Shorts, L",53
"Mountain-200 Black, 46","Mountain-500 Silver, 52",141
"Long-Sleeve Logo Jersey, L","Mountain-500 Black, 48",72
"Sport-100 Helmet, Black","Mountain Bike Socks, M",62
"HL Road Frame - Red, 44","Road-650 Black, 60",79
LL Crankset,HL Crankset,139
LL Mountain Seat/Saddle,"LL Mountain Frame - Black, 48",126
"Long-Sleeve Logo Jersey, XL","HL Touring Frame - Blue, 54",41
"HL Mountain Frame - Black, 38","Short-Sleeve Classic Jersey, S",40
"LL Road Frame - Black, 58","Road-250 Red, 48",125
HL Road Handlebars,HL Road Front Wheel,96
AWC Logo Cap,"Touring-1000 Yellow, 60",132
"Short-Sleeve Classic Jersey, XL","Mountain-500 Silver, 40",74
"Road-650 Black, 62","Men's Sports Shorts, M",69
"Sport-100 Helmet, Blue","HL Touring Frame - Yellow, 50",12
"ML Road Frame - Red, 48","Road-450 Red, 48",33
AWC Logo Cap,"Road-450 Red, 48",45
"LL Road Frame - Red, 44","Women's Tights, S",146
"Mountain-200 Black, 46","Mountain-300 Black, 38",190
"Touring-1000 Yellow, 54","Touring-2000 Blue, 54",81
"HL Mountain Frame - Silver, 38","ML Mountain Frame-W - Silver, 42",162
"Half-Finger Gloves, M",Fender Set - Mountain,52
"Road-650 Black, 60","Road-250 Red, 48",192
"Road-650 Red, 48",LL Road Handlebars,31
"Sport-100 Helmet, Red","ML Mountain Frame-W - Silver, 38",1
"LL Road Frame - Black, 52","Road-150 Red, 56",124
"HL Road Frame - Red, 44","Road-650 Black, 52",84
"Long-Sleeve Logo Jersey, L","ML Mountain Frame - Black, 40",17
"Sport-100 Helmet, Blue","LL Mountain Frame - Black, 42",66
"Mountain-200 Black, 42","Mountain-500 Silver, 44",111
"Road-650 Red, 44","Half-Finger Gloves, M",123
Bike Wash - Dissolver,"Touring-1000 Yellow, 46",92
"Half-Finger Gloves, S","ML Mountain Frame-W - Silver, 42",61
LL Touring Handlebars,"Touring-1000 Yellow, 46",21
"LL Road Frame - Black, 58","Road-150 Red, 62",64
"Road-650 Black, 48","Road-550-W Yellow, 44",98
"Mountain-200 Black, 42",HL Fork,103
"Short-Sleeve Classic Jersey, L","Touring-3000 Yellow, 50",87
"ML Mountain Frame-W - Silver, 42",LL Mountain Seat/Saddle,124
"Classic Vest, M","Mountain-400-W Silver, 46",36
"LL Touring Frame - Yellow, 50",LL Touring Handlebars,22
"LL Touring Frame - Yellow, 50","Touring-1000 Blue, 54",24
"Road-250 Black, 48",HL Road Pedal,156
"HL Mountain Frame - Black, 38",HL Mountain Pedal,90
